timestamps,TP9,AF7
1533058234,17.578,26.367
1533058234,10.742,23.438
1533058234,11.23,23.438
1533058234,25.879,20.996
1533058234,29.297,17.09
1533058234,12.695,17.578
1533058234,5.859,14.648
1533058234,11.23,15.625
1533058234,27.832,18.555
1533058234,37.109,18.555
1533058234,26.367,20.508
1533058234,17.09,22.949
1533058234,8.301,23.926
1533058234,16.113,26.367
1533058234,30.273,26.855
1533058234,22.949,28.32
1533058234,15.625,27.344
1533058234,12.207,24.902
1533058234,21.484,28.809
1533058234,31.25,27.344
1533058234,20.02,26.367
1533058234,10.254,34.18
1533058234,7.324,32.227
1533058234,14.16,24.414
1533058234,24.902,22.461
1533058234,25.879,21.973
1533058234,14.16,20.02
1533058234,3.418,17.09
1533058234,8.789,15.137
1533058234,25.879,20.996
1533058234,28.32,24.414
1533058234,16.602,26.367
1533058234,8.789,29.785
1533058234,10.254,25.879
1533058234,22.949,24.902
1533058234,27.344,22.949
1533058234,17.09,15.137
1533058234,6.836,14.16
1533058234,9.766,18.555
1533058234,24.902,22.461
1533058234,29.785,26.367
1533058234,18.066,27.344
1533058234,4.883,31.738
1533058234,0.977,34.668
1533058234,11.23,35.645
1533058234,15.625,41.504
1533058234,7.812,37.109
1533058234,3.418,30.273
1533058234,2.93,33.203
1533058234,16.602,33.691
1533058234,24.902,34.18
1533058234,19.043,35.156
1533058234,13.184,33.691
1533058234,8.301,33.203
1533058234,19.531,32.227
1533058234,27.832,32.227
1533058234,16.113,29.785
1533058234,9.277,29.297
1533058234,5.859,30.762
1533058234,13.184,26.855
1533058234,28.32,26.367
1533058234,24.902,29.785
1533058234,13.672,28.809
1533058234,12.695,28.809
1533058234,25.391,27.832
1533058234,31.738,23.438
1533058234,23.926,24.414
1533058234,14.648,26.855
1533058234,9.277,26.367
1533058234,16.602,25.879
1533058234,30.273,25.879
1533058234,28.809,31.25
1533058234,22.461,33.691
1533058234,20.02,32.227
1533058234,25.391,36.133
1533058234,38.574,36.133
1533058234,42.969,38.086
1533058234,33.203,46.387
1533058234,22.949,44.434
1533058234,26.367,41.504
1533058234,40.039,47.363
1533058234,46.387,48.828
1533058234,35.645,47.363
1533058234,21.484,49.316
1533058234,16.113,51.27
1533058234,24.902,49.316
1533058234,32.227,44.434
1533058234,25.879,48.828
1533058234,20.996,44.434
1533058234,17.09,35.156
1533058234,27.344,38.086
1533058234,37.598,37.109
1533058234,30.273,35.645
1533058234,21.973,34.18
1533058234,16.113,31.738
1533058234,25.391,35.156
1533058234,33.203,32.227
1533058234,22.949,26.855
1533058234,18.066,29.785
1533058234,11.719,35.156
1533058234,20.508,34.668
1533058234,37.109,34.668
1533058234,27.832,32.715
1533058234,20.02,27.344
1533058234,15.625,22.949
1533058234,16.113,20.996
1533058234,32.227,22.949
1533058234,26.367,25.391
1533058234,13.672,27.344
1533058234,12.207,31.738
1533058234,19.043,32.227
1533058234,34.668,27.832
1533058234,34.18,24.414
1533058234,23.926,21.973
1533058234,16.113,25.391
1533058234,16.602,30.762
1533058234,27.344,29.297
1533058234,30.762,33.691
1533058234,22.461,34.18
1533058234,15.137,29.785
1533058234,16.602,32.715
1533058234,26.855,35.156
1533058234,28.809,33.203
1533058234,22.461,29.785
1533058234,13.672,31.25
1533058234,13.184,32.715
1533058234,28.32,38.086
1533058234,34.18,40.039
1533058234,23.438,41.992
1533058234,18.555,42.48
1533058234,20.996,41.992
1533058234,31.25,41.992
1533058234,39.062,44.434
1533058234,32.715,41.504
1533058234,24.902,37.109
1533058234,21.484,39.551
1533058234,36.621,30.762
1533058234,45.41,22.461
1533058234,32.715,29.297
1533058234,22.949,30.273
1533058234,18.066,23.438
1533058234,29.785,21.973
1533058234,38.086,25.879
1533058234,29.785,21.484
1533058234,41.016,21.484
1533058234,25.879,26.367
1533058234,-12.207,19.043
1533058234,-6.836,19.043
1533058234,-18.555,22.461
1533058234,-48.828,14.16
1533058234,-58.105,13.672
1533058234,-63.477,16.113
1533058234,-65.43,6.836
1533058234,-67.871,8.789
1533058234,-82.031,7.812
1533058234,-103.027,-0.488
1533058234,-105.957,4.883
1533058234,-92.285,9.277
1533058234,-90.82,11.719
1533058234,-108.887,15.137
1533058234,-108.398,18.066
1533058234,-97.656,17.578
1533058234,-95.215,17.578
1533058234,-82.031,21.973
1533058234,-76.66,24.414
1533058234,-81.543,18.555
1533058234,-82.031,24.902
1533058234,-71.777,29.785
1533058234,-56.152,31.25
1533058234,-53.711,35.645
1533058234,-51.27,31.738
1533058234,-41.992,25.391
1533058234,-25.879,20.508
1533058234,-5.859,23.438
1533058234,-5.371,27.344
1533058234,-3.906,29.297
1533058234,0.977,27.832
1533058234,13.672,27.832
1533058234,34.18,33.203
1533058234,27.344,33.203
1533058234,10.254,31.25
1533058234,9.277,32.715
1533058234,27.832,33.203
1533058234,45.41,33.203
1533058234,43.945,36.133
1533058234,41.504,33.691
1533058234,41.992,31.25
1533058234,44.922,32.227
1533058234,65.43,34.668
1533058234,65.918,38.574
1533058234,49.805,35.645
1533058234,54.199,34.18
1533058234,67.383,37.598
1533058234,74.219,39.062
1533058234,70.312,39.551
1533058234,57.129,38.086
1533058234,42.969,32.227
1533058234,46.875,31.25
1533058234,64.453,35.156
1533058234,67.871,36.133
1533058234,56.641,34.668
1533058234,42.48,33.203
1533058234,39.551,33.203
1533058234,55.664,29.297
1533058234,66.406,26.367
1533058234,60.547,27.344
1533058234,49.316,26.855
1533058234,40.527,26.855
1533058234,50.293,30.762
1533058234,57.617,29.785
1533058234,47.363,26.855
1533058234,38.086,25.391
1533058234,33.691,24.902
1533058234,49.316,28.809
1533058234,66.895,28.32
1533058234,56.641,25.391
1533058234,47.363,23.926
1533058234,37.598,20.02
1533058234,42.969,20.02
1533058234,56.641,26.367
1533058234,42.48,25.879
1533058234,37.598,27.832
1533058234,34.18,27.344
1533058234,33.203,24.414
1533058234,47.363,27.344
1533058234,45.41,23.438
1533058234,29.785,25.391
1533058234,20.996,28.32
1533058234,26.367,29.297
1533058234,38.574,34.18
1533058234,42.48,32.715
1533058234,33.691,24.902
1533058234,28.32,21.484
1533058234,32.715,23.926
1533058234,38.574,24.902
1533058234,35.645,21.484
1533058234,30.273,23.438
1533058234,28.809,25.391
1533058234,36.133,29.785
1533058234,53.711,34.18
1533058234,46.875,33.203
1533058234,28.32,33.691
1533058234,23.926,32.715
1533058234,24.414,29.785
1533058234,35.645,33.203
1533058234,40.527,36.621
1533058234,26.855,33.691
1533058234,12.695,36.133
1533058234,8.301,32.715
1533058234,20.508,26.367
1533058234,21.973,32.715
1533058235,14.648,40.039
1533058235,17.578,42.48
1533058235,15.137,37.598
1533058235,18.066,33.691
1533058235,36.133,33.691
1533058235,39.551,38.086
1533058235,26.855,32.715
1533058235,19.531,31.25
1533058235,30.273,30.762
1533058235,41.992,15.137
1533058235,29.297,23.438
1533058235,15.137,36.621
1533058235,7.324,36.133
1533058235,11.719,38.086
1533058235,29.297,38.574
1533058235,24.902,27.832
1533058235,12.207,16.602
1533058235,9.277,22.949
1533058235,18.066,26.367
1533058235,30.762,20.02
1533058235,30.273,24.414
1533058235,19.531,23.438
1533058235,12.207,21.973
1533058235,13.184,20.996
1533058235,27.832,1.465
1533058235,40.527,22.949
1533058235,29.785,56.641
1533058235,10.742,53.223
1533058235,9.277,47.852
1533058235,28.809,41.504
1533058235,45.41,22.461
1533058235,38.574,8.301
1533058235,22.949,19.043
1533058235,16.113,37.598
1533058235,26.855,35.645
1533058235,36.621,25.391
1533058235,27.344,29.785
1533058235,19.043,28.32
1533058235,18.066,31.25
1533058235,23.926,38.574
1533058235,31.738,30.762
1533058235,25.879,24.414
1533058235,18.555,26.367
1533058235,11.719,24.902
